OBVR 1 - Query
OBSE version 22, Oblivion version 010201A0
OBVR 1 - Load
Config: D:\SteamLibrary\steamapps\common\Oblivion\Data\OBSE\Plugins\OBVR.ini
Config: HookEnabled=1 Source=openvr Fixed=(P 0.0, R 20.0, Y 0.0)
Config: Simulated=(Yaw 25.0, Pitch 12.0, Period 600) LogEveryFrames=120 ReloadEveryFrames=120
Config: RecenterKey=46 (0x2E)
Config: PositionalTracking=1 UnitsPerMetre=69.99 HeadMovementScale=1.70 (effective 118.99) MaxLeanUnits=80.0
Config: BlockVerticalLook=1 VerticalLookRange=(up 60.0, down 120.0) SmoothVerticalLook=1 (8.0)
Config: SmoothTurning=0 TurnSpeed=12.0
Config: Render.Enabled=1 - OBVR will claim the VR scene
OpenVR: connected as a scene application through FnTable:IVRSystem_026 and FnTable:IVRCompositor_029
Camera: hook installed at 0066BE6E, trampoline at 03DF0000 (37 bytes)
OBVR ready
Camera: first hook pass, CameraNode=1812BCA0, third person
Render: two 3560x3560 eye textures ready
Camera: frame 120, 3rd, 18.1 ms, pos=(977.5, 1283.7, 316.7), head=(0.016, 0.984, 0.175, -0.016), lean=(0.8, 6.3, -0.5) raw=6.3
Camera: frame 240, 3rd, 18.0 ms, pos=(977.5, 1283.8, 316.0), head=(0.017, 0.989, 0.130, 0.068), lean=(-2.3, 5.9, 1.5) raw=6.5
Camera: frame 360, 3rd, 18.5 ms, pos=(977.5, 1283.8, 316.4), head=(0.022, 0.969, 0.243, -0.034), lean=(-1.5, 4.5, -3.1) raw=5.7
Camera: frame 480, 3rd, 17.8 ms, pos=(977.5, 1283.8, 316.4), head=(-0.002, 0.991, 0.123, 0.056), lean=(-2.4, 4.6, 1.1) raw=5.3
Camera: frame 600, 3rd, 18.3 ms, pos=(977.5, 1283.8, 316.4), head=(0.001, 0.994, 0.108, 0.034), lean=(-2.1, 4.8, 1.5) raw=5.4
Camera: frame 720, 3rd, 17.9 ms, pos=(977.5, 1283.8, 316.4), head=(-0.039, 0.981, 0.191, -0.017), lean=(-2.5, 4.0, -0.7) raw=4.8
Camera: frame 840, 3rd, 18.0 ms, pos=(977.5, 1283.8, 316.4), head=(-0.034, 0.974, 0.119, 0.191), lean=(-7.0, 5.4, 1.0) raw=8.9
Camera: frame 960, 3rd, 18.0 ms, pos=(977.5, 1283.8, 316.4), head=(-0.048, 0.989, 0.121, 0.063), lean=(-3.6, 4.7, 2.5) raw=6.4
Camera: frame 1080, 3rd, 18.0 ms, pos=(977.5, 1283.8, 316.4), head=(0.023, 0.996, 0.092, 0.003), lean=(0.1, 1.2, -2.3) raw=2.6
Camera: frame 1200, 3rd, 17.8 ms, pos=(977.5, 1283.8, 316.4), head=(0.080, 0.992, 0.071, -0.061), lean=(4.5, -3.4, -0.8) raw=5.7
Camera: frame 1320, 3rd, 18.1 ms, pos=(977.5, 1283.8, 316.4), head=(0.027, 0.982, 0.182, 0.047), lean=(-3.0, 0.2, -2.9) raw=4.1
